#file	Good_sequences	Good_mean_length	trim_qual_right	min_len	lc_method
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_8_R2.fq.gz	  144,711,140 (94.43%)	  138.42	  6357926	  2177047	  1947
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_8_R1.fq.gz	  148,261,613 (96.75%)	  138.38	  1725090	  3259844	  1513
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_1_R1.fq.gz	  199,345,713 (95.72%)	  140.98	  4289712	  4629720	  1885
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_1_R1.fq.gz	  177,962,843 (96.57%)	  139.86	  2261393	  4057178	  5589
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_3_R2.fq.gz	  173,389,167 (96.84%)	  137.45	  2430429	  3217289	  1696
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_3_R1.fq.gz	  171,126,294 (95.58%)	  139.57	  4175579	  3736058	  650
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_3_R2.fq.gz	  182,069,056 (94.67%)	  140.85	  7752068	  2492078	  2104
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_3_R1.fq.gz	  184,777,263 (96.08%)	  139.03	  2625830	  4910593	  1620
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_7_R1.fq.gz	  157,063,504 (97.26%)	  142.72	  1964968	  2461474	  838
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_1_R2.fq.gz	  199,857,698 (95.96%)	  135.38	  3677648	  4727966	  3718
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_2_R2.fq.gz	  126,042,815 (98.26%)	  141.08	  952161	  1283381	  1875
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_2_R2.fq.gz	  173,263,121 (94.63%)	  140.84	  7536467	  2297419	  2810
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_4_R2.fq.gz	  219,625,717 (94.66%)	  132.21	  5638149	  6752018	  3779
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_7_R2.fq.gz	  157,678,885 (97.64%)	  138.52	  1599501	  2210233	  2165
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_6_R2.fq.gz	  165,012,965 (97.55%)	  139.05	  1816837	  2325268	  2453
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_5_R1.fq.gz	  131,813,865 (97.81%)	  144.35	  1307316	  1645142	  1029
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_5_R2.fq.gz	  135,480,368 (94.57%)	  138.14	  5873196	  1901345	  1943
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_5_R2.fq.gz	  132,088,730 (98.01%)	  139.88	  1106242	  1570370	  2010
