"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"17679",1121.82959128765,6.97508489476656,0.696008684107635,10.0215486588496,1.22567145506271e-23,1.87342024828373e-21
"5220",204.545180110104,5.12074026922248,0.511103221393954,10.0189943144097,1.25776221349131e-23,1.90801582100756e-21
"17998",75.0426466351427,4.68437321547523,0.467636777289522,10.0171189328316,1.28185140457123e-23,1.93004730885293e-21
"12571",1042.2030203117,8.78642748866076,0.877913600906756,10.008305463756,1.40132141146341e-23,2.08813122236669e-21
"15794",1494.08204738576,6.82274702745302,0.681738370472306,10.0078671275701,1.40754285409333e-23,2.08813122236669e-21
"12104",2831.17530848774,3.44142394255324,0.344028276771457,10.0033170960521,1.47376061285363e-23,2.17040833028721e-21
"9012",511.939674201967,2.20677194467094,0.220620780026253,10.0025570773902,1.48511813988789e-23,2.1712857674187e-21
"7479",125.570095002334,-4.72403631801879,0.472547214293789,-9.99696152072074,1.57144793099888e-23,2.28097362991606e-21
"2506",171.387194221161,-5.73802907971184,0.574322288136235,-9.99095664271124,1.66962546572947e-23,2.40616881403984e-21
"9545",288.629542306185,2.3667746790198,0.237173361941646,9.97909149511539,1.88181866672383e-23,2.69273570353333e-21
"18628",244.547479018489,-3.54937583149511,0.356665541608654,-9.95155241374457,2.48279501189228e-23,3.52766705351681e-21
"14672",696.143455194098,4.10976034171833,0.413393215345623,9.94152828145065,2.74581729397627e-23,3.87409858204652e-21
"5655",68.1650096781018,-5.76131991172497,0.580484644094387,-9.92501691532804,3.24047782806698e-23,4.54026949021385e-21
"7211",86.0890279775286,-2.29644862140527,0.23220649161627,-9.88968312393365,4.61486326528575e-23,6.42134353382105e-21
"6461",292.868426188925,-2.95893360524402,0.300042866104918,-9.86170290817497,6.10058199161329e-23,8.43050289471162e-21
"13104",5881.32109617332,2.00181920590869,0.203109120193219,9.85588044497629,6.46475840569633e-23,8.87299085668905e-21
