"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"12326",811.423480364948,-1.1628597079552,0.217197544655942,-5.35392658235278,8.60657923433892e-08,4.17440609313523e-05
"3994",169.423069906135,-1.48370723108866,0.279721678209613,-5.30422683213286,1.13151543128554e-07,5.35427582496848e-05
"18312",185.145890177701,1.85997791855528,0.351510721834006,5.29138317275459,1.21394726238573e-07,5.60756924703465e-05
"15707",175.470290944484,-3.5379707828842,0.670415363364818,-5.27728178114402,1.31114194341512e-07,5.91568949865041e-05
"23907",153.69410936656,-2.10857045763588,0.399896932657022,-5.27278477388155,1.34369108466529e-07,5.92476153036168e-05
"20268",30.7529744227034,5.70162079615272,1.08470805187931,5.25636440724708,1.46931015007905e-07,6.33468582704081e-05
"3593",194.499345998565,-3.10282341189023,0.592345181759865,-5.23820148696357,1.62148984002647e-07,6.83880964920729e-05
"19181",93.2578238540454,2.60810230544245,0.500537423614091,5.21060400761016,1.88226822995161e-07,7.71655646527762e-05
"6022",314.333745052055,-3.15391277875868,0.605593215443619,-5.20797244475126,1.90915267426074e-07,7.71655646527762e-05
"1071",252.349610246844,-3.14431161168762,0.60881010125443,-5.16468370877699,2.40845830781924e-07,9.53602033265328e-05
"15686",47.8251418889913,-2.62037794146192,0.511831214670512,-5.11961339276419,3.061626389084e-07,0.000118797227149237
"12072",54.5537231874967,-1.8670031000531,0.365289245891513,-5.1110267303286,3.20412639838919e-07,0.000119900136721933
"2700",462.834976328119,1.83352107520939,0.35877767237394,5.11046594142118,3.21365244551339e-07,0.000119900136721933
"21504",237.435804971471,4.42437221468497,0.866858705749245,5.10391391969801,3.32699654652002e-07,0.000121786905658557
"14794",15.3559480497106,7.17104377310595,1.41653270320894,5.0623919637443,4.14028694611206e-07,0.000147227252628807
"2072",54.8505070609092,-4.01644456456752,0.794055510683916,-5.05814078553295,4.23363836848521e-07,0.000147227252628807
"6706",234.977402182214,-3.05992006766985,0.605035641332319,-5.05742118089398,4.24963978517252e-07,0.000147227252628807
"14953",1014.15830676326,1.90864036168757,0.378133197017216,5.04753451096934,4.47547946727768e-07,0.000152331187973078
"5813",29.1039317034087,3.10537911388411,0.616344522230422,5.03838194691241,4.69483849581627e-07,0.000157042347685054
"7082",42.5837706944965,-3.11762307353118,0.619191120428518,-5.03499318816715,4.77865826042112e-07,0.000157136862560051
"5936",108.43023318954,1.870990703649,0.373240315061903,5.01283121931427,5.36349403724372e-07,0.000173428579694276
"23380",355.658968628995,2.76644483163284,0.552864266314102,5.00384090669576,5.61991435524052e-07,0.000178740915419707
"6465",20.1461156405159,2.32300260052872,0.465785704542657,4.98727757823659,6.12360544655961e-07,0.000189296369749054
"20520",542.992487253433,3.13128607598761,0.627947325286394,4.98654258071646,6.14693639203671e-07,0.000189296369749054
"19892",28.5217553863225,-2.94863375029393,0.592013034524119,-4.98069059013902,6.33577694958451e-07,0.000191341718215735
"22341",470.909996669318,-1.39695889839566,0.28060296448515,-4.97841817515649,6.41060341426872e-07,0.000191341718215735
"13423",45.5210560018905,-2.06720575151127,0.415679862303475,-4.97307168082649,6.59002798151424e-07,0.000193716867983875
"13337",47.5398061874372,4.89465803658821,0.984884868118839,4.96977686938897,6.70299933787885e-07,0.000194096850976399
"12729",398.467702566936,3.19373649322605,0.649613811161294,4.916361749632,8.81674103129994e-07,0.000251549401100368
"4476",38.7076728542559,-2.7475103424596,0.561171982933236,-4.89602194339499,9.77961506217882e-07,0.000274977263509176
"10487",40.8029540283538,3.64562066626342,0.745727224737967,4.88867852121721,1.01515114929812e-06,0.000281356392107613
"16742",141.267371868977,0.970854450525782,0.198706769494878,4.88586500094457,1.02975741487278e-06,0.000281384839520379
"1319",2007.9777332699,-0.684247286700027,0.140543186169834,-4.86859096728584,1.1239678098142e-06,0.000302862492752852
"11675",1985.96035051809,-2.50429898810216,0.515692042306127,-4.85619087101513,1.19665359063973e-06,0.000318031182356183
"13517",25.7881707218534,5.08001634956242,1.04984247787574,4.83883673657533,1.30601272131647e-06,0.000342404767652172
"18160",42.3061959996053,-3.72881801082816,0.774088729001725,-4.8170421182038,1.4570194220059e-06,0.000376901784084487
"4819",36.7993121583836,2.23575073435314,0.465398643039703,4.80394768611822,1.55567491249038e-06,0.000397126960226655
"23987",270.175639243235,3.88267954845108,0.810181265550132,4.79235908499396,1.64831541406791e-06,0.000415311264264047
"18240",40.14296245148,-3.65743495810369,0.765064107552673,-4.78056011515594,1.74807476238703e-06,0.00043401106571189
"22410",187.163970444083,3.14025159078231,0.657494740207763,4.77608625399804,1.7873975038333e-06,0.00043401106571189
"23411",206.645710258698,-2.44697124350685,0.512365272976664,-4.77583351676198,1.78964410375502e-06,0.00043401106571189
"10972",323.929396870624,3.35654333268194,0.70375798601624,4.76945682944547,1.84723323531274e-06,0.000442446567880277
"20139",88.278564785267,-1.31952161925648,0.278668213459724,-4.73509914487319,2.1894804122216e-06,0.000518025725335502
"16279",25.2186459544485,-2.41382311444636,0.510864856037003,-4.72497390635053,2.30144906057105e-06,0.000537956785832999
"19688",152.888712609222,4.57530887307685,0.970592562365845,4.71393358086777,2.42979893721653e-06,0.000561196775963546
"21317",54.0894841610518,2.37522437076433,0.504633533193654,4.70683023328304,2.51598263666498e-06,0.000574265636869849
"20126",155.95536726701,4.33657349017481,0.92295127028176,4.69859420514252,2.61958353298766e-06,0.000590959768877833
"15757",116.522316920538,-3.03722297222158,0.648075229677624,-4.68652840463044,2.77878268639394e-06,0.000619668539065849
"636",49.5447278514115,2.53056000927652,0.540792541894903,4.67935449037369,2.87779509811624e-06,0.000634455712483559
"19239",2433.25005438226,1.80634941551835,0.386396784842517,4.67485622649411,2.94159623795787e-06,0.000641234928231692
"18864",75.4291861692372,-1.7427990951638,0.375136239241946,-4.64577642161565,3.38799779704578e-06,0.000730339391783169
"4589",1747.33427987155,-0.799011835469303,0.172318226070488,-4.63683879349166,3.53778110925054e-06,0.000754247157149118
"14441",295.824978936633,1.97612118512438,0.426485587576045,4.63350050433306,3.59533883256117e-06,0.00075428095027594
"17356",211.253827253815,3.32272350322511,0.717289580858531,4.63233203422264,3.6156965298522e-06,0.00075428095027594
"11120",219.249693964001,1.92824894613623,0.417085950546603,4.62314528602368,3.77964800098662e-06,0.000780095221990866
"2052",56.3794226645191,4.42091970189039,0.95763931383592,4.61647682798439,3.90309580785079e-06,0.000789538436454872
"17052",406.377192032364,-1.14099889228756,0.247168462704203,-4.61628024790949,3.90679294364557e-06,0.000789538436454872
"440",315.029066156136,-1.679620834986,0.365053545197185,-4.60102595107997,4.20415039569893e-06,0.00083898247162107
"22984",165.134389467872,2.74183882981882,0.59613506141685,4.59935844622562,4.23794042672362e-06,0.00083898247162107
"9186",78.270446537468,3.24028392308697,0.705271726043853,4.59437661178196,4.34044861375712e-06,0.000850596399550525
"23762",25.0011761118869,-3.35880664804772,0.73165624976736,-4.59068947899468,4.41784188432634e-06,0.000857105503978152
"23772",18.3190066246787,3.8595363494199,0.842279119795197,4.58225338692755,4.59992034379535e-06,0.000873572346279053
"13424",196.036363005927,2.99258477564423,0.653130365914317,4.58191033799955,4.60747451593163e-06,0.000873572346279053
"17575",151.293016063944,4.17145351744582,0.910690612205797,4.58053861710739,4.637799683869e-06,0.000873572346279053
"7176",272.262225231801,1.1526336090818,0.25230967297929,4.56832905164288,4.91627800438426e-06,0.000917122207337106
"18242",44.3783977297256,-2.02050199213218,0.442516212399386,-4.56593890916839,4.97263579650977e-06,0.000918801019886533
"16304",19.864710969801,-3.50611400539968,0.769069068901555,-4.55890653671379,5.14206473725023e-06,0.000941143377050866
"1356",91.2141722696454,3.70239136952199,0.820077365086959,4.51468547620431,6.34108045173817e-06,0.00113169161731512
"23113",85.8661658143625,0.948698451569543,0.210212060076505,4.51305434723522,6.39006392482938e-06,0.00113169161731512
"13848",343.88178704234,2.92283971042768,0.647782983334742,4.51206620986106,6.41991396874637e-06,0.00113169161731512
"10738",15.1814513781055,-7.21533290084341,1.59976552368291,-4.51024402890782,6.47530932324777e-06,0.00113169161731512
"3359",316.690639046153,2.62708870644467,0.58271132024647,4.50838797045076,6.53220456529894e-06,0.00113169161731512
"10434",13.2721222440332,-2.94564998768372,0.65362626010083,-4.50662736106917,6.58661571064297e-06,0.00113169161731512
"7026",250.30797406116,-1.33132681261062,0.29542558781983,-4.50647089317988,6.59147223115347e-06,0.00113169161731512
"11101",677.084020796216,-2.49804565800475,0.554652622144857,-4.50380212455272,6.67483606994253e-06,0.00113595170695575
"16575",1279.8459670171,3.36568307146192,0.74808027482216,4.49909345927086,6.82438526120549e-06,0.00115130346480563
"11693",1047.48812751125,-1.22057147446923,0.272660816074386,-4.47651955290944,7.58697225848224e-06,0.00125997821862129
"15525",67.712007553661,-2.89732404286532,0.647273610646014,-4.47619676626958,7.59844603776564e-06,0.00125997821862129
"24028",22.8351048139818,3.79551765308071,0.84838615349523,4.47380905197913,7.6838365290238e-06,0.00126333993643721
"8381",12.8470789214146,4.70048218261841,1.05519437222885,4.4546126347222,8.40447981083808e-06,0.00136483052147486
"12673",66.6590447991369,3.20470743711871,0.719566908194542,4.45366150197153,8.44181550316909e-06,0.00136483052147486
"10020",59.5543911313911,2.22615094053729,0.500291805483345,4.44970498444711,8.59883246794393e-06,0.00137029913497738
"13250",25.4819744596816,2.8480583541468,0.640120404155535,4.4492541335314,8.61690090548116e-06,0.00137029913497738
"20133",111.735151410627,-1.53569626668075,0.345560225696798,-4.44407704499012,8.82699711769355e-06,0.00139229732585669
"6670",157.221228762699,1.64401772256433,0.3710572299207,4.4306311533552,9.39576811997504e-06,0.00147005884915835
"2210",53.0797201892748,-2.10916534547915,0.477420322982359,-4.41783737295382,9.96933848001752e-06,0.00154417585551457
"14480",272.331797444239,-2.2023374034643,0.498655104796013,-4.41655441262397,1.00286664499168e-05,0.00154417585551457
"7097",261.588218311388,-1.01523076363755,0.230403908247399,-4.40630877904826,1.05147046434576e-05,0.00159766314479311
"11294",5704.64373249511,2.23561017911533,0.507427475570356,4.40577281827806,1.05407392677448e-05,0.00159766314479311
"5323",281.873521827578,-2.45183137596427,0.557445911373953,-4.39833053922876,1.09086753569793e-05,0.00164061403566477
"17072",131.965244468863,3.04182753236881,0.693897811386582,4.38368226913768,1.16689929746288e-05,0.00174146255923673
"21179",15.4887557668973,6.00801441198149,1.37419764857036,4.37201622214382,1.23104376011955e-05,0.0018051798367081
"10266",50.030887921198,3.00639459603979,0.687915312102207,4.37029753975459,1.24077350860472e-05,0.0018051798367081
"1794",18872.0394479969,1.521722165039,0.348278621644336,4.36926664592404,1.24664473399457e-05,0.0018051798367081
"5655",59.898092185201,-2.08132379229276,0.476424738669126,-4.3686308106226,1.25027920005853e-05,0.0018051798367081
"6346",51.1873169763007,-2.73885006475745,0.627081647151083,-4.36761317637092,1.25611709682797e-05,0.0018051798367081
"7412",33.7517643444521,3.48620579233869,0.800410901083547,4.35552013049707,1.32751315514704e-05,0.0018937560825741
"3712",838.872814667971,-3.10037650684593,0.712767068378569,-4.34977518517906,1.36277171621667e-05,0.00192986380046128
"22431",31.7459847529889,-1.75518399669433,0.404001149686483,-4.34450247989741,1.39591666720584e-05,0.00196247675800439
"15667",2935.87434013177,3.5826882319459,0.82508566332793,4.34220153274189,1.41062046145633e-05,0.00196888112033916
