gene.x gene
7715533 5155855
89967 5155919
7132429 5156151
9163653 5156358
9276287 5155814
7709177 5155943
6765534 5155787
5013349 5155998
6748611 6486602
9181246 5156157
9225421 5156103
6850162 698322
6824397 5079932
9299109 11058084
7705992 5155938
7643142 307201
9298472 5258271
3098643 5457874
9302071 5155795
7670667 5155886
7694160 511889
9131397 5083685
6838008 5155765
9297353 5155923
6792337 5156205
7751387 5156007
7165826 5155952
7141172 5156080
9301506 5156068
7750155 5155777
9301774 5156067
6461742 5156307
9179357 5156026
7737289 5090158
9265368 6404565
9251330 5156288
9175298 5089735
6832357 5155721
6846856 5156346
9237698 5155898
9262150 5155831
9255866 5155769
9290791 5155885
8183152 5727873
7718560 5156137
9294259 5155933
9288741 5156235
6803738 5081253
7751654 1503548
7672278 2999913
9214621 6486519
9137030 5155821
9209889 5156278
9235635 5156283
6847638 5090568
9138638 5083291
6828067 5155846
7019118 5156097
9294386 6486634
9132109 5156031
5836369 10908150
9244018 5155941
6762778 6486582
9288158 74909
6849485 6162921
7751587 5088781
7698201 5155914
9300691 5084484
9171803 5156015
9254377 5155939
6770501 6162981
9140108 5079739
9173347 5156209
9300607 5727883
9263848 5547127
7655327 6061506
5072869 5155710
414389 5155797
9139403 5155981
4905923 5547251
7129346 5156101
9300472 5155749
7169055 5547220
7749627 5156237
9298012 6486532
6846768 5155894
6740278 5078018
5110852 5155928
9248297 5156122
5810190 5156042
9262497 5077873
7636431 5155820
9264434 5155982
9140846 5083081
6733202 5095356
9232052 5156087
9175698 5454134
9276626 5156106
7654502 11058037
9302915 5079604
3887224 5155832
7090043 5155864
6780239 5085885
7716919 5078369
7165824 11555818
1750429 5079980
9138362 5156001
7110077 5096251
9228317 5155971
6749199 5156037
9260437 5077442
6707589 5155865
6744095 5156281
7073185 6486681
7019255 5078221
9300060 5156183
6829914 5083040
9274455 5156194
7721796 5155916
6835248 5102279
6426985 6486543
6752974 5155803
7089574 5079085
9140972 715065
7069319 5156223
7749998 5156178
9298416 5156292
9290532 6486575
9297647 5155717
9239678 5155756
7151635 5156253
6839836 5080195
7165139 5084726
6799202 5081918
9298281 90119
9278645 5080601
