gene.x gene.y
9251330 3260726
9175298 3575830
6832357 3874240
6846856 3871069
9237698 3213912
9262150 3217522
9255866 3214516
9290791 2943457
8183152 3260856
7718560 3051847
9294259 3288464
9288741 3218218
6803738 3870223
7751654 3052578
7672278 4709713
9214621 3287725
9137030 3958234
9209889 2915661
9235635 3500653
6847638 3874753
9138638 3364193
6828067 4559546
7019118 3184327
9294386 3218336
9132109 2914654
5836369 3011685
9244018 3495802
6762778 2940411
9288158 3011718
6849485 3365207
7751587 3052419
7698201 3093370
9300691 3576163
9171803 3289160
9254377 3288417
6770501 3011492
9140108 3364343
9173347 3575995
9300607 3462581
9263848 3541592
7655327 2346618
5072869 3728982
414389 3260787
9139403 2940695
4905923 3052595
7129346 2848413
9300472 2914925
7169055 3260162
7749627 4336834
9298012 3575412
6846768 3957253
6740278 3957796
5110852 3011365
9248297 2939673
5810190 3052192
9262497 3287869
7636431 2982263
9264434 3516884
9140846 3493915
6733202 3012102
9232052 2851353
9175698 3365105
9276626 3663426
7654502 3681074
9302915 3011728
3887224 3957532
7090043 4559849
6780239 3957502
7716919 4505749
7165824 2915360
1750429 3011465
9138362 3495246
7110077 3260044
9228317 3364864
6749199 3934924
9260437 3093341
6707589 3870559
6744095 3364286
7073185 1409756
7019255 3260321
9300060 3575685
6829914 3879133
9274455 3287783
7721796 3051892
6835248 3011953
6426985 2897818
6752974 3495464
7089574 3334632
9140972 3364214
7069319 3188430
7749998 3751020
9298416 3364288
9290532 3251617
9297647 3575642
9239678 2845233
7151635 4462558
6839836 3957835
7165139 3260663
6799202 3957421
9298281 3011722
9278645 3257100
900079 2891836
9299478 3575284
9300221 3112783
7153693 3364852
6784460 3499523
7748148 3052664
9251200 3575102
9247808 3575460
7714709 501572
7715845 3751061
7598662 4738535
9224917 3663671
7068691 2861269
7748073 831633
4526769 3575378
9184681 3287930
1367795 2992393
7722247 3052440
6846167 3011938
7723465 3020662
6771406 3957530
6559922 3663632
7168691 7019143
7362673 3575896
9223629 3011897
9283969 3288061
9254886 2580981
6449988 4201336
7084752 3261094
9301581 1006370
9297862 3364866
9247617 2849598
6755080 3364311
7115278 2914673
7657435 3664349
7676782 3751274
6845784 3284924
9275771 3011438
7650521 3093470
6812906 3957426
9209533 3214309
942093 3575745
9182957 3364459
9297776 3575430
7086556 3260106
6850216 3285770
7636147 831963
9297199 3493328
7071142 3260959
6828851 3702500
9133892 3030148
9267372 2915074
7125913 3190907
7729103 3751714
7656747 2984269
9173645 3287957
1978383 4043735
6849255 2943753
9260858 3092417
7165294 3260581
7721751 3052382
9163858 2914950
6825084 3287670
1532114 3249494
9257558 2915272
9137958 3364369
7592633 3022420
6815812 3364901
9295315 3364251
7727535 3681177
9140447 3288462
7086734 3183826
9299824 3287523
4930885 2983413
7133386 523652
121041 3957407
7639695 3751080
4630017 3011624
9161144 3269100
7116418 3182959
9142243 3011518
6787783 3957491
6849615 3012176
6787383 4336547
7728245 3093227
9277143 3288063
7090050 3587889
9301563 3575969
7108704 3261051
7051550 3260632
7748033 3051901
9132162 3029694
7129538 4458586
6805540 2946999
7659448 2988604
4428833 11063477
7731400 3751404
7586202 3052494
4071046 3664745
7726258 831521
9299721 3012165
9299606 3288317
7705976 3667187
9173940 3365166
7167098 3334853
6736317 3958031
9131005 3288062
6834981 3365036
7638574 2981645
9298940 3092980
6736362 3011683
6756887 3575380
6792869 3288611
9233739 2915256
3775848 790209
1444957 3871661
9298349 2915247
9299297 3497618
7740502 3666976
9251629 3575253
9185629 3260727
9165949 3958215
9135227 3012295
9271033 3285394
7114447 2845815
9269302 3494680
7622956 4242402
7697879 2984286
9266146 3535800
9259732 3215376
9299629 2915281
1334439 3011714
6818635 3957526
7591123 3093117
7670916 3051951
9217385 3495265
89697 3051913
7081991 3334782
7698154 831528
6754533 4639442
6843224 3011502
6849339 3285538
7115246 4033957
6739610 3958410
7749623 812264
9246903 3364596
7678973 2914917
9251157 3497988
9300420 3364923
7746384 3751310
9249213 2915182
9230088 3288254
9220299 3284858
6829516 3011658
6843217 3011839
7016261 2914995
7666551 3051738
6782955 2941813
6758335 3869974
9280221 3287717
6702083 3364293
6843505 3872324
7704515 2985848
7667503 3261001
7619984 3663232
9300384 2914754
7627070 3051679
